id,session_id,rssi,ssid,timestamp,robot_id,loc_x,loc_y,rank,ssid_loc_y,ssid_loc_x
1,0709141028robot1,-49,zotacB1,2015-07-09 14:10:31,robot1,6000,100,0.0,200,5500
2,0709141028robot1,-61,zotacD2,2015-07-09 14:10:31,robot1,6000,100,1.0,560,4300
3,0709141028robot1,-62,zotacD4,2015-07-09 14:10:31,robot1,6000,100,2.0,1280,4300
4,0709141028robot1,-69,zotacG2,2015-07-09 14:10:31,robot1,6000,100,3.0,560,2500
5,0709141028robot1,-56,zotacB2,2015-07-09 14:10:31,robot1,6000,100,4.0,560,5500
27,0709142420robot1,-48,zotacB1,2015-07-09 14:24:24,robot1,6000,100,0.0,200,5500
28,0709142420robot1,-60,zotacD2,2015-07-09 14:24:24,robot1,6000,100,1.0,560,4300
29,0709142420robot1,-63,zotacD4,2015-07-09 14:24:24,robot1,6000,100,2.0,1280,4300
30,0709142420robot1,-70,zotacG2,2015-07-09 14:24:24,robot1,6000,100,3.0,560,2500
31,0709142420robot1,-56,zotacB2,2015-07-09 14:24:24,robot1,6000,100,4.0,560,5500
51,0709150823robot5,-55,zotacC2,2015-07-09 15:08:26,robot5,4800,100,0.0,560,4900
52,0709150823robot5,-77,zotach4,2015-07-09 15:08:26,robot5,4800,100,1.0,1280,1900
53,0709150823robot5,-83,zotaci4,2015-07-09 15:08:26,robot5,4800,100,2.0,1280,1300
54,0709150823robot5,-61,zotacD1,2015-07-09 15:08:26,robot5,4800,100,3.0,200,4300
55,0709150823robot5,-65,zotacB2,2015-07-09 15:08:26,robot5,4800,100,4.0,560,5500
88,0709153504robot5,-62,zotacC2,2015-07-09 15:35:07,robot5,4800,100,0.0,560,4900
89,0709153504robot5,-81,zotaci4,2015-07-09 15:35:07,robot5,4800,100,1.0,1280,1300
90,0709153504robot5,-60,zotacD1,2015-07-09 15:35:07,robot5,4800,100,2.0,200,4300
91,0709153504robot5,-62,zotacD2,2015-07-09 15:35:07,robot5,4800,100,3.0,560,4300
92,0709153504robot5,-66,zotacD4,2015-07-09 15:35:07,robot5,4800,100,4.0,1280,4300
123,0709154102robot5,-57,zotacC2,2015-07-09 15:41:06,robot5,4782,216,0.0,560,4900
124,0709154102robot5,-79,zotaci4,2015-07-09 15:41:06,robot5,4782,216,1.0,1280,1300
125,0709154102robot5,-61,zotacD1,2015-07-09 15:41:06,robot5,4782,216,2.0,200,4300
126,0709154102robot5,-60,zotacD2,2015-07-09 15:41:06,robot5,4782,216,3.0,560,4300
127,0709154102robot5,-66,zotacD4,2015-07-09 15:41:06,robot5,4782,216,4.0,1280,4300
161,0709154344robot5,-59,zotacC2,2015-07-09 15:43:48,robot5,4798,402,0.0,560,4900
162,0709154344robot5,-80,zotaci4,2015-07-09 15:43:48,robot5,4798,402,1.0,1280,1300
163,0709154344robot5,-63,zotacD1,2015-07-09 15:43:48,robot5,4798,402,2.0,200,4300
164,0709154344robot5,-59,zotacD2,2015-07-09 15:43:48,robot5,4798,402,3.0,560,4300
165,0709154344robot5,-63,zotacD4,2015-07-09 15:43:48,robot5,4798,402,4.0,1280,4300
198,0709154817robot5,-58,zotacC2,2015-07-09 15:48:21,robot5,4798,402,0.0,560,4900
199,0709154817robot5,-61,zotacD1,2015-07-09 15:48:21,robot5,4798,402,1.0,200,4300
200,0709154817robot5,-60,zotacD2,2015-07-09 15:48:21,robot5,4798,402,2.0,560,4300
201,0709154817robot5,-63,zotacD4,2015-07-09 15:48:21,robot5,4798,402,3.0,1280,4300
202,0709154817robot5,-60,zotacG2,2015-07-09 15:48:21,robot5,4798,402,4.0,560,2500
236,0709154827robot5,-55,zotacC2,2015-07-09 15:48:30,robot5,4798,402,0.0,560,4900
237,0709154827robot5,-60,zotacD1,2015-07-09 15:48:30,robot5,4798,402,1.0,200,4300
238,0709154827robot5,-60,zotacD2,2015-07-09 15:48:30,robot5,4798,402,2.0,560,4300
239,0709154827robot5,-61,zotacD4,2015-07-09 15:48:30,robot5,4798,402,3.0,1280,4300
240,0709154827robot5,-72,zotacG2,2015-07-09 15:48:30,robot5,4798,402,4.0,560,2500
275,0709155126robot5,-56,zotacC2,2015-07-09 15:51:29,robot5,4599,701,0.0,560,4900
276,0709155126robot5,-57,zotacD2,2015-07-09 15:51:29,robot5,4599,701,1.0,560,4300
277,0709155126robot5,-61,zotacD4,2015-07-09 15:51:29,robot5,4599,701,2.0,1280,4300
278,0709155126robot5,-71,zotacG2,2015-07-09 15:51:29,robot5,4599,701,3.0,560,2500
279,0709155126robot5,-75,zotacH1,2015-07-09 15:51:29,robot5,4599,701,4.0,200,1900
312,0709155133robot5,-58,zotacC2,2015-07-09 15:51:36,robot5,4599,701,0.0,560,4900
313,0709155133robot5,-59,zotacD2,2015-07-09 15:51:36,robot5,4599,701,1.0,560,4300
314,0709155133robot5,-65,zotacD4,2015-07-09 15:51:36,robot5,4599,701,2.0,1280,4300
315,0709155133robot5,-69,zotacG2,2015-07-09 15:51:36,robot5,4599,701,3.0,560,2500
316,0709155133robot5,-75,zotacH1,2015-07-09 15:51:36,robot5,4599,701,4.0,200,1900
351,0709155139robot5,-55,zotacC2,2015-07-09 15:51:42,robot5,4599,701,0.0,560,4900
352,0709155139robot5,-56,zotacD2,2015-07-09 15:51:42,robot5,4599,701,1.0,560,4300
353,0709155139robot5,-61,zotacD4,2015-07-09 15:51:42,robot5,4599,701,2.0,1280,4300
354,0709155139robot5,-70,zotacG2,2015-07-09 15:51:42,robot5,4599,701,3.0,560,2500
355,0709155139robot5,-74,zotacH1,2015-07-09 15:51:42,robot5,4599,701,4.0,200,1900
390,0709155532robot5,-69,zotacC2,2015-07-09 15:55:36,robot5,3396,700,0.0,560,4900
391,0709155532robot5,-60,zotacD2,2015-07-09 15:55:36,robot5,3396,700,1.0,560,4300
392,0709155532robot5,-63,zotacD4,2015-07-09 15:55:36,robot5,3396,700,2.0,1280,4300
393,0709155532robot5,-65,zotacG2,2015-07-09 15:55:36,robot5,3396,700,3.0,560,2500
394,0709155532robot5,-70,zotacH1,2015-07-09 15:55:36,robot5,3396,700,4.0,200,1900
425,0709155539robot5,-66,zotacC2,2015-07-09 15:55:42,robot5,3396,700,0.0,560,4900
426,0709155539robot5,-49,zotacD2,2015-07-09 15:55:42,robot5,3396,700,1.0,560,4300
427,0709155539robot5,-64,zotacD4,2015-07-09 15:55:42,robot5,3396,700,2.0,1280,4300
428,0709155539robot5,-66,zotacG2,2015-07-09 15:55:42,robot5,3396,700,3.0,560,2500
429,0709155539robot5,-71,zotacH1,2015-07-09 15:55:42,robot5,3396,700,4.0,200,1900
464,0709155545robot5,-66,zotacC2,2015-07-09 15:55:48,robot5,3396,700,0.0,560,4900
465,0709155545robot5,-62,zotacD2,2015-07-09 15:55:48,robot5,3396,700,1.0,560,4300
466,0709155545robot5,-64,zotacD4,2015-07-09 15:55:48,robot5,3396,700,2.0,1280,4300
467,0709155545robot5,-66,zotacG2,2015-07-09 15:55:48,robot5,3396,700,3.0,560,2500
468,0709155545robot5,-70,zotacH1,2015-07-09 15:55:48,robot5,3396,700,4.0,200,1900
503,0709174021robot5,-69,zotacC2,2015-07-09 17:40:24,robot5,4794,403,0.0,560,4900
504,0709174021robot5,-77,zotacD2,2015-07-09 17:40:24,robot5,4794,403,1.0,560,4300
505,0709174021robot5,-83,zotacD4,2015-07-09 17:40:24,robot5,4794,403,2.0,1280,4300
506,0709174021robot5,-86,zotacG2,2015-07-09 17:40:24,robot5,4794,403,3.0,560,2500
507,0709174021robot5,-83,zotacB4,2015-07-09 17:40:24,robot5,4794,403,4.0,1280,5500
521,0709174340robot5,-75,zotacC2,2015-07-09 17:43:43,robot5,5197,824,0.0,560,4900
522,0709174340robot5,-79,zotacD2,2015-07-09 17:43:43,robot5,5197,824,1.0,560,4300
523,0709174340robot5,-79,zotacD4,2015-07-09 17:43:43,robot5,5197,824,2.0,1280,4300
524,0709174340robot5,-86,zotacG2,2015-07-09 17:43:43,robot5,5197,824,3.0,560,2500
525,0709174340robot5,-80,zotacB4,2015-07-09 17:43:43,robot5,5197,824,4.0,1280,5500
541,0709174513robot5,-75,zotacC2,2015-07-09 17:45:17,robot5,5197,824,0.0,560,4900
542,0709174513robot5,-81,zotacD2,2015-07-09 17:45:17,robot5,5197,824,1.0,560,4300
543,0709174513robot5,-80,zotacD4,2015-07-09 17:45:17,robot5,5197,824,2.0,1280,4300
544,0709174513robot5,-82,zotacB4,2015-07-09 17:45:17,robot5,5197,824,3.0,1280,5500
545,0709174513robot5,-83,zotacC1,2015-07-09 17:45:17,robot5,5197,824,4.0,200,4900
558,0709174538robot5,-74,zotacC2,2015-07-09 17:45:41,robot5,5197,824,0.0,560,4900
559,0709174538robot5,-80,zotacD2,2015-07-09 17:45:41,robot5,5197,824,1.0,560,4300
560,0709174538robot5,-79,zotacD4,2015-07-09 17:45:41,robot5,5197,824,2.0,1280,4300
561,0709174538robot5,-75,zotacB4,2015-07-09 17:45:41,robot5,5197,824,3.0,1280,5500
562,0709174538robot5,-83,zotacC1,2015-07-09 17:45:41,robot5,5197,824,4.0,200,4900
576,0709174817robot5,-73,zotacC2,2015-07-09 17:48:21,robot5,5197,824,0.0,560,4900
577,0709174817robot5,-82,zotacB4,2015-07-09 17:48:21,robot5,5197,824,1.0,1280,5500
578,0709174817robot5,-84,zotacC1,2015-07-09 17:48:21,robot5,5197,824,2.0,200,4900
579,0709174817robot5,-81,zotacC3,2015-07-09 17:48:21,robot5,5197,824,3.0,920,4900
580,0709174817robot5,-87,zotacE3,2015-07-09 17:48:21,robot5,5197,824,4.0,920,3700
590,0709174835robot5,-75,zotacC2,2015-07-09 17:48:38,robot5,5197,824,0.0,560,4900
591,0709174835robot5,-73,zotacB4,2015-07-09 17:48:38,robot5,5197,824,1.0,1280,5500
592,0709174835robot5,-83,zotacC1,2015-07-09 17:48:38,robot5,5197,824,2.0,200,4900
593,0709174835robot5,-79,zotacC3,2015-07-09 17:48:38,robot5,5197,824,3.0,920,4900
594,0709174835robot5,-86,zotacE3,2015-07-09 17:48:38,robot5,5197,824,4.0,920,3700
609,0709174852robot5,-75,zotacC2,2015-07-09 17:48:56,robot5,5197,824,0.0,560,4900
610,0709174852robot5,-81,zotacB4,2015-07-09 17:48:56,robot5,5197,824,1.0,1280,5500
611,0709174852robot5,-83,zotacC1,2015-07-09 17:48:56,robot5,5197,824,2.0,200,4900
612,0709174852robot5,-79,zotacC3,2015-07-09 17:48:56,robot5,5197,824,3.0,920,4900
613,0709174852robot5,-88,zotacE3,2015-07-09 17:48:56,robot5,5197,824,4.0,920,3700
628,0709175005robot5,-75,zotacC2,2015-07-09 17:50:09,robot5,5197,824,0.0,560,4900
629,0709175005robot5,-74,zotacB4,2015-07-09 17:50:09,robot5,5197,824,1.0,1280,5500
630,0709175005robot5,-85,zotacC1,2015-07-09 17:50:09,robot5,5197,824,2.0,200,4900
631,0709175005robot5,-80,zotacC3,2015-07-09 17:50:09,robot5,5197,824,3.0,920,4900
632,0709175005robot5,-86,zotacE3,2015-07-09 17:50:09,robot5,5197,824,4.0,920,3700
647,0709182206robot5,-75,zotacC2,2015-07-09 18:22:09,robot5,4800,100,0.0,560,4900
648,0709182206robot5,-84,zotacB4,2015-07-09 18:22:09,robot5,4800,100,1.0,1280,5500
649,0709182206robot5,-77,zotacC1,2015-07-09 18:22:09,robot5,4800,100,2.0,200,4900
650,0709182206robot5,-86,zotacC3,2015-07-09 18:22:09,robot5,4800,100,3.0,920,4900
651,0709182206robot5,-81,zotacE1,2015-07-09 18:22:09,robot5,4800,100,4.0,200,3700
663,0709182214robot5,-76,zotacC2,2015-07-09 18:22:18,robot5,4800,100,0.0,560,4900
664,0709182214robot5,-82,zotacB4,2015-07-09 18:22:18,robot5,4800,100,1.0,1280,5500
665,0709182214robot5,-77,zotacC1,2015-07-09 18:22:18,robot5,4800,100,2.0,200,4900
666,0709182214robot5,-86,zotacC3,2015-07-09 18:22:18,robot5,4800,100,3.0,920,4900
667,0709182214robot5,-80,zotacE1,2015-07-09 18:22:18,robot5,4800,100,4.0,200,3700
681,0709182223robot5,-77,zotacC2,2015-07-09 18:22:26,robot5,4800,100,0.0,560,4900
682,0709182223robot5,-83,zotacB4,2015-07-09 18:22:26,robot5,4800,100,1.0,1280,5500
683,0709182223robot5,-77,zotacC1,2015-07-09 18:22:26,robot5,4800,100,2.0,200,4900
684,0709182223robot5,-87,zotacC3,2015-07-09 18:22:26,robot5,4800,100,3.0,920,4900
685,0709182223robot5,-81,zotacE1,2015-07-09 18:22:26,robot5,4800,100,4.0,200,3700
700,0709183534robot6,-68,zotacC2,2015-07-09 18:35:35,robot6,4600,100,0.0,560,4900
701,0709183534robot6,-72,zotacB2,2015-07-09 18:35:35,robot6,4600,100,1.0,560,5500
702,0709183534robot6,-66,zotacD1,2015-07-09 18:35:35,robot6,4600,100,2.0,200,4300
703,0709183534robot6,-78,zotacD4,2015-07-09 18:35:35,robot6,4600,100,3.0,1280,4300
704,0709183534robot6,-76,zotacB3,2015-07-09 18:35:35,robot6,4600,100,4.0,920,5500
707,0709183607robot6,-69,zotacC2,2015-07-09 18:36:08,robot6,4600,100,0.0,560,4900
708,0709183607robot6,-79,zotacD4,2015-07-09 18:36:08,robot6,4600,100,1.0,1280,4300
709,0709183607robot6,-80,zotacB3,2015-07-09 18:36:08,robot6,4600,100,2.0,920,5500
710,0709183607robot6,-81,zotacB1,2015-07-09 18:36:08,robot6,4600,100,3.0,200,5500
711,0709183607robot6,-77,zotacC4,2015-07-09 18:36:08,robot6,4600,100,4.0,1280,4900
713,0709183613robot6,-68,zotacC2,2015-07-09 18:36:15,robot6,4600,100,0.0,560,4900
714,0709183613robot6,-79,zotacD4,2015-07-09 18:36:15,robot6,4600,100,1.0,1280,4300
715,0709183613robot6,-80,zotacB3,2015-07-09 18:36:15,robot6,4600,100,2.0,920,5500
716,0709183613robot6,-76,zotacB1,2015-07-09 18:36:15,robot6,4600,100,3.0,200,5500
717,0709183613robot6,-77,zotacC4,2015-07-09 18:36:15,robot6,4600,100,4.0,1280,4900
723,0709183620robot6,-70,zotacC2,2015-07-09 18:36:21,robot6,4600,100,0.0,560,4900
724,0709183620robot6,-78,zotacD4,2015-07-09 18:36:21,robot6,4600,100,1.0,1280,4300
725,0709183620robot6,-79,zotacB3,2015-07-09 18:36:21,robot6,4600,100,2.0,920,5500
726,0709183620robot6,-75,zotacB1,2015-07-09 18:36:21,robot6,4600,100,3.0,200,5500
727,0709183620robot6,-79,zotacC4,2015-07-09 18:36:21,robot6,4600,100,4.0,1280,4900
733,0709183626robot6,-72,zotacC2,2015-07-09 18:36:28,robot6,4599,113,0.0,560,4900
734,0709183626robot6,-79,zotacD4,2015-07-09 18:36:28,robot6,4599,113,1.0,1280,4300
735,0709183626robot6,-79,zotacB3,2015-07-09 18:36:28,robot6,4599,113,2.0,920,5500
736,0709183626robot6,-77,zotacB1,2015-07-09 18:36:28,robot6,4599,113,3.0,200,5500
737,0709183626robot6,-77,zotacC4,2015-07-09 18:36:28,robot6,4599,113,4.0,1280,4900
743,0709183633robot6,-72,zotacC2,2015-07-09 18:36:34,robot6,4599,156,0.0,560,4900
744,0709183633robot6,-79,zotacD4,2015-07-09 18:36:34,robot6,4599,156,1.0,1280,4300
745,0709183633robot6,-77,zotacB3,2015-07-09 18:36:34,robot6,4599,156,2.0,920,5500
746,0709183633robot6,-77,zotacB1,2015-07-09 18:36:34,robot6,4599,156,3.0,200,5500
747,0709183633robot6,-77,zotacC4,2015-07-09 18:36:34,robot6,4599,156,4.0,1280,4900
753,0709183639robot6,-74,zotacC2,2015-07-09 18:36:40,robot6,4599,156,0.0,560,4900
754,0709183639robot6,-79,zotacD4,2015-07-09 18:36:41,robot6,4599,156,1.0,1280,4300
755,0709183639robot6,-79,zotacB3,2015-07-09 18:36:41,robot6,4599,156,2.0,920,5500
756,0709183639robot6,-74,zotacB1,2015-07-09 18:36:41,robot6,4599,156,3.0,200,5500
757,0709183639robot6,-77,zotacC4,2015-07-09 18:36:41,robot6,4599,156,4.0,1280,4900
763,0709183646robot6,-74,zotacC2,2015-07-09 18:36:47,robot6,4599,156,0.0,560,4900
764,0709183646robot6,-79,zotacD4,2015-07-09 18:36:47,robot6,4599,156,1.0,1280,4300
765,0709183646robot6,-79,zotacB3,2015-07-09 18:36:47,robot6,4599,156,2.0,920,5500
766,0709183646robot6,-74,zotacB1,2015-07-09 18:36:47,robot6,4599,156,3.0,200,5500
767,0709183646robot6,-77,zotacC4,2015-07-09 18:36:47,robot6,4599,156,4.0,1280,4900
773,0709183652robot6,-72,zotacC2,2015-07-09 18:36:53,robot6,4554,198,0.0,560,4900
774,0709183652robot6,-79,zotacD4,2015-07-09 18:36:53,robot6,4554,198,1.0,1280,4300
775,0709183652robot6,-80,zotacB3,2015-07-09 18:36:53,robot6,4554,198,2.0,920,5500
776,0709183652robot6,-80,zotacB1,2015-07-09 18:36:53,robot6,4554,198,3.0,200,5500
777,0709183652robot6,-77,zotacC4,2015-07-09 18:36:53,robot6,4554,198,4.0,1280,4900
783,0709183659robot6,-72,zotacC2,2015-07-09 18:37:00,robot6,4500,252,0.0,560,4900
784,0709183659robot6,-80,zotacD4,2015-07-09 18:37:00,robot6,4500,252,1.0,1280,4300
785,0709183659robot6,-81,zotacB3,2015-07-09 18:37:00,robot6,4500,252,2.0,920,5500
786,0709183659robot6,-74,zotacB1,2015-07-09 18:37:00,robot6,4500,252,3.0,200,5500
787,0709183659robot6,-79,zotacC4,2015-07-09 18:37:00,robot6,4500,252,4.0,1280,4900
793,0709183705robot6,-73,zotacC2,2015-07-09 18:37:06,robot6,4401,250,0.0,560,4900
794,0709183705robot6,-78,zotacD4,2015-07-09 18:37:06,robot6,4401,250,1.0,1280,4300
795,0709183705robot6,-81,zotacB3,2015-07-09 18:37:06,robot6,4401,250,2.0,920,5500
796,0709183705robot6,-75,zotacB1,2015-07-09 18:37:06,robot6,4401,250,3.0,200,5500
797,0709183705robot6,-79,zotacC4,2015-07-09 18:37:06,robot6,4401,250,4.0,1280,4900
803,0709183711robot6,-74,zotacC2,2015-07-09 18:37:13,robot6,4348,250,0.0,560,4900
804,0709183711robot6,-79,zotacD4,2015-07-09 18:37:13,robot6,4348,250,1.0,1280,4300
805,0709183711robot6,-79,zotacB3,2015-07-09 18:37:13,robot6,4348,250,2.0,920,5500
806,0709183711robot6,-76,zotacB1,2015-07-09 18:37:13,robot6,4348,250,3.0,200,5500
807,0709183711robot6,-79,zotacC4,2015-07-09 18:37:13,robot6,4348,250,4.0,1280,4900
814,0709183718robot6,-74,zotacC2,2015-07-09 18:37:19,robot6,4348,250,0.0,560,4900
815,0709183718robot6,-79,zotacD4,2015-07-09 18:37:19,robot6,4348,250,1.0,1280,4300
816,0709183718robot6,-80,zotacB3,2015-07-09 18:37:19,robot6,4348,250,2.0,920,5500
817,0709183718robot6,-77,zotacB1,2015-07-09 18:37:19,robot6,4348,250,3.0,200,5500
818,0709183718robot6,-80,zotacC4,2015-07-09 18:37:19,robot6,4348,250,4.0,1280,4900
826,0709183724robot6,-79,zotacC2,2015-07-09 18:37:26,robot6,4348,250,0.0,560,4900
827,0709183724robot6,-79,zotacD4,2015-07-09 18:37:26,robot6,4348,250,1.0,1280,4300
828,0709183724robot6,-81,zotacB3,2015-07-09 18:37:26,robot6,4348,250,2.0,920,5500
829,0709183724robot6,-77,zotacB1,2015-07-09 18:37:26,robot6,4348,250,3.0,200,5500
830,0709183724robot6,-80,zotacC4,2015-07-09 18:37:26,robot6,4348,250,4.0,1280,4900
839,0709183731robot6,-75,zotacC2,2015-07-09 18:37:32,robot6,4349,321,0.0,560,4900
840,0709183731robot6,-79,zotacD4,2015-07-09 18:37:32,robot6,4349,321,1.0,1280,4300
841,0709183731robot6,-78,zotacB3,2015-07-09 18:37:32,robot6,4349,321,2.0,920,5500
842,0709183731robot6,-77,zotacB1,2015-07-09 18:37:32,robot6,4349,321,3.0,200,5500
843,0709183731robot6,-80,zotacC4,2015-07-09 18:37:32,robot6,4349,321,4.0,1280,4900
852,0709183737robot6,-75,zotacC2,2015-07-09 18:37:39,robot6,4349,351,0.0,560,4900
853,0709183737robot6,-79,zotacD4,2015-07-09 18:37:39,robot6,4349,351,1.0,1280,4300
854,0709183737robot6,-80,zotacB3,2015-07-09 18:37:39,robot6,4349,351,2.0,920,5500
855,0709183737robot6,-77,zotacB1,2015-07-09 18:37:39,robot6,4349,351,3.0,200,5500
856,0709183737robot6,-79,zotacC4,2015-07-09 18:37:39,robot6,4349,351,4.0,1280,4900
866,0709183744robot6,-75,zotacC2,2015-07-09 18:37:45,robot6,4349,351,0.0,560,4900
867,0709183744robot6,-79,zotacD4,2015-07-09 18:37:45,robot6,4349,351,1.0,1280,4300
868,0709183744robot6,-80,zotacB3,2015-07-09 18:37:45,robot6,4349,351,2.0,920,5500
869,0709183744robot6,-79,zotacB1,2015-07-09 18:37:45,robot6,4349,351,3.0,200,5500
870,0709183744robot6,-77,zotacC4,2015-07-09 18:37:45,robot6,4349,351,4.0,1280,4900
880,0709183750robot6,-72,zotacC2,2015-07-09 18:37:52,robot6,4350,384,0.0,560,4900
881,0709183750robot6,-76,zotacD4,2015-07-09 18:37:52,robot6,4350,384,1.0,1280,4300
