session id, 0709174835robot5
robots location, (5197, 824)
estimated location, (21744.2496406, 946.549784373)
error distance, (16547.2496406, 122.549784373)

session id, 0709155133robot5
robots location, (4599, 701)
estimated location, (100.228421768, 1278.96555947)
error distance, (-4498.77157823, 577.965559474)

session id, 0709174817robot5
robots location, (5197, 824)
estimated location, (22367.2309136, 1239.66145184)
error distance, (17170.2309136, 415.661451843)

session id, 0709154827robot5
robots location, (4798, 402)
estimated location, (100.0, 882.578384227)
error distance, (-4698.0, 480.578384227)

session id, 0709174340robot5
robots location, (5197, 824)
estimated location, (22361.9258689, 634.311042633)
error distance, (17164.9258689, -189.688957367)

session id, 0709174538robot5
robots location, (5197, 824)
estimated location, (21704.3255266, 914.809368102)
error distance, (16507.3255266, 90.809368102)

session id, 0709155126robot5
robots location, (4599, 701)
estimated location, (128.04660801, 200.0)
error distance, (-4470.95339199, -501.0)

session id, 0709174021robot5
robots location, (4794, 403)
estimated location, (22367.2309136, 920.0)
error distance, (17573.2309136, 517.0)

session id, 0709153504robot5
robots location, (4800, 100)
estimated location, (700.0, 200.855164652)
error distance, (-4100.0, 100.855164652)

session id, 0709141028robot1
robots location, (6000, 100)
estimated location, (116.780392714, 580.136471256)
error distance, (-5883.21960729, 480.136471256)

session id, 0709154344robot5
robots location, (4798, 402)
estimated location, (100.0, 938.710807887)
error distance, (-4698.0, 536.710807887)

session id, 0709155532robot5
robots location, (3396, 700)
estimated location, (660.722941849, 998.762116567)
error distance, (-2735.27705815, 298.762116567)

session id, 0709154102robot5
robots location, (4782, 216)
estimated location, (158.453026789, 1264.79174066)
error distance, (-4623.54697321, 1048.79174066)

session id, 0709155139robot5
robots location, (4599, 701)
estimated location, (100.0, 1278.62832803)
error distance, (-4499.0, 577.628328027)

session id, 0709174513robot5
robots location, (5197, 824)
estimated location, (22332.536013, 1256.78320166)
error distance, (17135.536013, 432.783201662)

session id, 0709142420robot1
robots location, (6000, 100)
estimated location, (100.0, 596.997768227)
error distance, (-5900.0, 496.997768227)

session id, 0709150823robot5
robots location, (4800, 100)
estimated location, (695.129664499, 203.110439757)
error distance, (-4104.8703355, 103.110439757)

session id, 0709155539robot5
robots location, (3396, 700)
estimated location, (651.203298531, 1250.91540833)
error distance, (-2744.79670147, 550.915408332)

session id, 0709175005robot5
robots location, (5197, 824)
estimated location, (22300.0, 200.0)
error distance, (17103.0, -624.0)

session id, 0709174852robot5
robots location, (5197, 824)
estimated location, (21725.559381, 906.24715829)
error distance, (16528.559381, 82.2471582903)

session id, 0709154817robot5
robots location, (4798, 402)
estimated location, (100.0, 1215.2524297)
error distance, (-4698.0, 813.252429696)

session id, 0709155545robot5
robots location, (3396, 700)
estimated location, (100.0, 244.765038927)
error distance, (-3296.0, -455.234961073)

